toys.	3600	in	soa	v0n0.nic.toys. hostmaster.donuts.email. 1725240065 7200 900 1209600 3600
001.toys.	3600	in	ns	ns3.afternic.com.
001.toys.	3600	in	ns	ns4.afternic.com.
007.toys.	3600	in	ns	ns1.cloudhosting.uk.
007.toys.	3600	in	ns	ns2.cloudhosting.uk.
04ff37ck5h6akphgc25lh1p06474rs9t.toys.	3600	in	nsec3	1 1 0 73 062J4TH0EMQG2HS01VGTEUDR22D8LGJP NS DS RRSIG
04ff37ck5h6akphgc25lh1p06474rs9t.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. Dul7y4Ri/pH8/y7emir/c0LxM9tEDDOYBzfb8Jh2l+Fz7/Lc7ucAiIWwypomFtG1hLy3Hdu8PyVyUbGKjWEdAsy+cgk/rHIgHyKKVH8/HFjXmBWs06kTWDGtUJbgltF4EySGjQG9RgICIf1JgXLskOVweJnTlTTUYccbI6f8CeU=
062j4th0emqg2hs01vgteudr22d8lgjp.toys.	3600	in	nsec3	1 1 0 73 06G9D1NT39ES7JP2VBFCFB8JIPDI78V3 NS DS RRSIG
062j4th0emqg2hs01vgteudr22d8lgjp.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. Es+wAdKpU/U4NT/vpL4p20M8IbqCXv5IQaUgPZ++fgu7TBo3VtvE5ASKo5N4gQboWay7nu7MZo+E3Gy0Wp7GM251eYit0YjLmZ+hFGx3pn2Ymw4zbTEWp7htoEPNLV2uvXVWDKRkzvY7ioJbZ/0Og0zEZpqCxXdMU+izWQks4bk=
06g9d1nt39es7jp2vbfcfb8jipdi78v3.toys.	3600	in	nsec3	1 1 0 73 0EPHL2J5MGT0QJPP7NMRGSET3LDNGG3L NS DS RRSIG
06g9d1nt39es7jp2vbfcfb8jipdi78v3.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. OokSLb/wmKEnxaYTtClyX4f5cTv0O10fU/eTpIrHwK1PNEJF2tsKX7+hyd9yP/z8iap3hfJDNjW2sbAH0O5DiY8RUTPN+fTC4t6mJjNcd8Bm59JEViyhR/aaoe1wJhTP2uFAcSRGSMSF9XK9cmAH28RM/lilXA9jj+KwhX6dsrM=
072.toys.	3600	in	ns	ns11.value-domain.com.
072.toys.	3600	in	ns	ns12.value-domain.com.
072.toys.	3600	in	ns	ns13.value-domain.com.
0ephl2j5mgt0qjpp7nmrgset3ldngg3l.toys.	3600	in	nsec3	1 1 0 73 0O8UCD1SEB39E1423FT3TJBQ0K8Q0I0H NS DS RRSIG
0ephl2j5mgt0qjpp7nmrgset3ldngg3l.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. jNoBfZEzmCKV9n16uWF1K6YXnPMKTyD1Zs4yzkm8EHjQwxPf4QIm4MJmGwBznMmiieR8AINFTNXj9WWrOd2zTCYK9csCB1zLJWCu38tGffyA14+2/M2eKig8lwteMoYNyrHblgVOhcRRp5q5ajfe6YSKH7jb3PPi78QLI9b/rJY=
0i0.toys.	3600	in	ns	ns21.domaincontrol.com.
0i0.toys.	3600	in	ns	ns22.domaincontrol.com.
0o8ucd1seb39e1423ft3tjbq0k8q0i0h.toys.	3600	in	nsec3	1 1 0 73 0T6T9P9VLPNBOO6EKKFJUNDDF1CM958D NS DS RRSIG
0o8ucd1seb39e1423ft3tjbq0k8q0i0h.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. Cw3cfrjlkQSN3X3P4NblLRwk3f7bnDSpymo/cUi9U9Wh2das1KG5GDWyTsYd+G1pk4f8uH42713mIiazMtI5bRW8YeKWTXiVl1Uz4AIT95A2mTfOkq6Lfgpm0jV51Xs8A/sPXA8BAz+EeyIZv2KcEU0tE5A2cX/8HRiL82y2I9U=
0t6t9p9vlpnboo6ekkfjunddf1cm958d.toys.	3600	in	nsec3	1 1 0 73 0V3DBHO3IQ7TK0OEQUVGHC1OT4QM7TD6 NS DS RRSIG
0t6t9p9vlpnboo6ekkfjunddf1cm958d.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. 7GY4cezpY38LvpglBOacn16eyJu/BV0MxqYKVnJLt0cuTU/n4rd9ME/GNpDomL4sGQpGCQhZ6HXHktetXo7m8iRSpNRNAOfnxlG2qlg32Tapg6Ir9MbSwc2G0ZqV3VtTS90hw3KN9xbSuTHh7HBYg0skLsk+NwCT1uKAIjo+eow=
0v3dbho3iq7tk0oequvghc1ot4qm7td6.toys.	3600	in	nsec3	1 1 0 73 10006B45ABQFH5I8COMMMJE9QRIVC9P0 NS DS RRSIG
0v3dbho3iq7tk0oequvghc1ot4qm7td6.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. OKriJCjVBDDI0P4Ly98smZh9yjnOpr6ClPlG+Wn+o6X94kbNH9R02ImL3my/0CtfzJkgIIVYeelFJvRTNSatdath309FfU1a+AznxzgxpXG/dhx8TcOe3/8iP/W8BVa/mGgBfLN20SWUU1ImTFXKwaKw1ssU1+CEL6n9DVd7Sxk=
10.toys.	3600	in	ns	ns3.afternic.com.
10.toys.	3600	in	ns	ns4.afternic.com.
100.toys.	3600	in	ns	dns1.registrar-servers.com.
100.toys.	3600	in	ns	dns2.registrar-servers.com.
1000-dollars-for-junk-car.toys.	3600	in	ns	dns1.registrar-servers.com.
1000-dollars-for-junk-car.toys.	3600	in	ns	dns2.registrar-servers.com.
10006b45abqfh5i8commmje9qrivc9p0.toys.	3600	in	nsec3	1 1 0 73 100266C797L0CPTIOLMRUQE6FNASPB4U NS DS RRSIG
10006b45abqfh5i8commmje9qrivc9p0.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. 50NghiMnwIv5av3fr14xU6LrzWG7/SAVfLSodzod03kRb24lzdvdC0DmFvQpcrToPS4mkbBQwEHTe1uFAk17oAnMcp1l6WRU1oTz5oytYFT9BDTQgCNMszbSloLZe+z35JNaJPmwnVoBjsm7MaKe47heChC1dRACsUwpHy0mb5k=
100266c797l0cptiolmruqe6fnaspb4u.toys.	3600	in	nsec3	1 1 0 73 10548DOB2BG9VJ8C6PPQCA4LM60PG0SK NS DS RRSIG
100266c797l0cptiolmruqe6fnaspb4u.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. N132Xd9RKNj+BgIEfgpqWSqvBbPQkWSzpRshJ2LLBfZ5BTC8R2JX8DOMMtqKIQMIyhQ5uNEXP0mFOaxptOGuKVWDOoz8yCxHIqZAG1H9PACnMuKZndtT+9NvIWPkq/8gdSooZkixyMM7gTmobZKA3oFbgvoU7/GK2X/u67Q8agw=
100colors.toys.	3600	in	ns	dns01.muumuu-domain.com.
100colors.toys.	3600	in	ns	dns02.muumuu-domain.com.
101.toys.	3600	in	ns	ns1.dyna-ns.net.
101.toys.	3600	in	ns	ns2.dyna-ns.net.
10548dob2bg9vj8c6ppqca4lm60pg0sk.toys.	3600	in	nsec3	1 1 0 73 12HJPMBP6IQCV90ID4QT9Q0V88J9G1DK NS DS RRSIG
10548dob2bg9vj8c6ppqca4lm60pg0sk.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. ZXIDnQd4Q8qTuYI1Fhhjy2gpS0Z6E8+4DrFi/x9n7/8Sayn75MrvB3+Eb0xyrHDT/gMHtZxnAWWUKmn269DBF0kYbMaCEDvMtrBwh8/R9p4Wn6B34qVvM961ff028OCYU3CJpSYPGzFeTWBRbydfipij09uvU8by4ea/cCXBdzA=
112.toys.	3600	in	ns	ns.zxcs.be.
112.toys.	3600	in	ns	ns.zxcs.eu.
112.toys.	3600	in	ns	ns.zxcs.nl.
118archive.toys.	3600	in	ns	ns1042.ui-dns.biz.
118archive.toys.	3600	in	ns	ns1090.ui-dns.com.
118archive.toys.	3600	in	ns	ns1104.ui-dns.de.
118archive.toys.	3600	in	ns	ns1105.ui-dns.org.
11bet.toys.	3600	in	ns	naomi.ns.cloudflare.com.
11bet.toys.	3600	in	ns	yew.ns.cloudflare.com.
11kv.toys.	3600	in	ns	ns1026.ui-dns.de.
11kv.toys.	3600	in	ns	ns1037.ui-dns.com.
11kv.toys.	3600	in	ns	ns1040.ui-dns.biz.
11kv.toys.	3600	in	ns	ns1048.ui-dns.org.
11st.toys.	3600	in	ns	ns1.11stcorp.com.
11st.toys.	3600	in	ns	ns3.11stcorp.com.
123b.toys.	3600	in	ns	kayleigh.ns.cloudflare.com.
123b.toys.	3600	in	ns	nick.ns.cloudflare.com.
123movies.toys.	3600	in	ns	dell.ns.cloudflare.com.
123movies.toys.	3600	in	ns	peyton.ns.cloudflare.com.
123moviesfree.toys.	3600	in	ns	dell.ns.cloudflare.com.
123moviesfree.toys.	3600	in	ns	peyton.ns.cloudflare.com.
123movieshub.toys.	3600	in	ns	dell.ns.cloudflare.com.
123movieshub.toys.	3600	in	ns	peyton.ns.cloudflare.com.
123win.toys.	3600	in	ns	jim.ns.cloudflare.com.
123win.toys.	3600	in	ns	jule.ns.cloudflare.com.
12hjpmbp6iqcv90id4qt9q0v88j9g1dk.toys.	3600	in	nsec3	1 1 0 73 1D94CAFO29DN59LA86MUCDHSP20R6V9J NS DS RRSIG
12hjpmbp6iqcv90id4qt9q0v88j9g1dk.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. SlqrnKG3DdSvGfD/N1aOSf08n2/bxOvF0TmaL9zgmsPYG5vaIuoz4K8DuJMhI2y6IeAcd78nMuv5d38dMsoZS5X4DThgAKfDB0yIN2dAiYAB3CJ2fkScDL6sDbRXtvecmfTIGvRvA0oFrhrLw1c+v7FA0WENWmTEWlzwV1o5da8=
1337.toys.	3600	in	ds	34191 13 2 39721A1FB7EA79B7B196EFD2D2F1860AE218A760B712539DC979A78ADC5888E1
1337.toys.	3600	in	ns	launch1.spaceship.net.
1337.toys.	3600	in	ns	launch2.spaceship.net.
1337.toys.	3600	in	rrsig	DS 8 2 3600 20240922161638 20240901151638 26241 toys. KOrjI40G1U3SWO2Rg4qfmSaiL8TeGZHWwpwi2S6eUOijqzvv2g8A1h7GEZgZdpdGrQF1ERM0I/DcauldtPgLcv1fZOcObWF5lR49ag5Q0moyd5DVAIGGeq7iLZG606EtVFC7sgi3LBNILf1WyBuxDRziitPTlyIuwrCIuZmH1QE=
138.toys.	3600	in	ns	curitiba.ns.porkbun.com.
138.toys.	3600	in	ns	fortaleza.ns.porkbun.com.
138.toys.	3600	in	ns	maceio.ns.porkbun.com.
138.toys.	3600	in	ns	salvador.ns.porkbun.com.
15869.toys.	3600	in	ns	curitiba.ns.porkbun.com.
15869.toys.	3600	in	ns	fortaleza.ns.porkbun.com.
15869.toys.	3600	in	ns	maceio.ns.porkbun.com.
15869.toys.	3600	in	ns	salvador.ns.porkbun.com.
164.toys.	3600	in	ns	dns1.registrar-servers.com.
164.toys.	3600	in	ns	dns2.registrar-servers.com.
168.toys.	3600	in	ns	curitiba.ns.porkbun.com.
168.toys.	3600	in	ns	fortaleza.ns.porkbun.com.
168.toys.	3600	in	ns	maceio.ns.porkbun.com.
168.toys.	3600	in	ns	salvador.ns.porkbun.com.
1688.toys.	3600	in	ns	ns1.dyna-ns.net.
1688.toys.	3600	in	ns	ns2.dyna-ns.net.
18.toys.	3600	in	ns	dns1.registrar-servers.com.
18.toys.	3600	in	ns	dns2.registrar-servers.com.
188bet.toys.	3600	in	ns	amber.ns.cloudflare.com.
188bet.toys.	3600	in	ns	jonah.ns.cloudflare.com.
18plus.toys.	3600	in	ns	christina.ns.cloudflare.com.
18plus.toys.	3600	in	ns	rick.ns.cloudflare.com.
1a.toys.	3600	in	ns	ns1.dns-parking.com.
1a.toys.	3600	in	ns	ns2.dns-parking.com.
1d94cafo29dn59la86mucdhsp20r6v9j.toys.	3600	in	nsec3	1 1 0 73 1DDO901GVRTT6RSAE8CDS4VUNKMGRCD6 NS DS RRSIG
1d94cafo29dn59la86mucdhsp20r6v9j.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. X4ql4R5PE/idDBShD7OqmYWKkzW97TIyr8CVjssQoa+37Y29TIlWRaqsF7OPyHDAtF/dCf7+KH2UzFDpjdUJJhDKOhwWaZmXab5fgnNDCat87aMDuq0tWfAmRuTFK6c/r1iQAH+/JwYHGAQASGOpOXSEQEuHUhqnOc4J3SjPrjI=
