zuerich.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 2019106004 900 1800 6048000 3600
01figpckdb2q9odtvb6ac9mpsj9oau18.zuerich.	900	in	nsec3	1 1 0 - 030L3JHGSC9VDSKR8KJ1K84RBBJI151K NS DS RRSIG
01figpckdb2q9odtvb6ac9mpsj9oau18.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. NhJYnewMn/KSAIHw6pKD+i4r3HvhPnWmQ0OsSHFEIIt4P/UrKAKqbBv8kzTrNMZYEMahiLqyZ9zT3Jn0ERdHI58KTW56cZ15MrzUMxrsDsAhsxJANUjtd/FcBd3eD5ZSH0QiwciShsL/VaaoPXAuTjWkErK5jOtuk7HRFAIN6qE=
030l3jhgsc9vdskr8kj1k84rbbji151k.zuerich.	900	in	nsec3	1 1 0 - 05D9P9GSSVRR61I10BIS7L5Q66JSBCSQ NS DS RRSIG
030l3jhgsc9vdskr8kj1k84rbbji151k.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. plhcnQY9IpaNhcTm4jtQnDxdg+CyvaZHe3Oeg58cDaQ0BnywEuDxk2t33uR49jBH3ajipx/OoJPEcJlHpB52a/uBOF9SZ8idcFkUdDAuoPLFTnOGmjtUXgJZHrPYR8ZA6NKTT1gmYn7ysXOvfGOetQrJe02qveYcraUUEFgGPDg=
05d9p9gssvrr61i10bis7l5q66jsbcsq.zuerich.	900	in	nsec3	1 1 0 - 0H2EP02FOJKV147QE22KLGESQ05FFIBS NS DS RRSIG
05d9p9gssvrr61i10bis7l5q66jsbcsq.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. n55SL9Nt+xPlv+/+Pjjz2aj7OyZLX1dkSTNfOdcG5FW/GtX91a3CRsinXjJzpcUFvMzJI65q4mURV1CexgTnRLgAcCPY3ztgG4au1VMxu4J5UERLfSdnN1RbFJTIK8KkFeKhHkir43uaslhVGpt9A2cB2yVVMdXtsKbMW7j1cFA=
0h2ep02fojkv147qe22klgesq05ffibs.zuerich.	900	in	nsec3	1 1 0 - 138UU30RQI4933QORIVQDOTMDJ7FO9V4 NS DS RRSIG
0h2ep02fojkv147qe22klgesq05ffibs.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. sza9SMIRBllrZAwvLe1j1JeuVE+SKRfjz0JR9VFsQ9P+La1F3DaxuZ3IK2mYvfj5+8vRpbdNHdjTGMc5rMWCUQ1m7r6EdWcOfxQP93w17z9PEiBwCm6fX+x6iLLAi2wnbnmW9XSfVuVv5rcJYebDLBX08JjeBGPsairAwhaLLlQ=
1.zuerich.	3600	in	ns	ns1.dns-parking.com.
1.zuerich.	3600	in	ns	ns2.dns-parking.com.
138uu30rqi4933qorivqdotmdj7fo9v4.zuerich.	900	in	nsec3	1 1 0 - 14HSIDOCSFAP22AKDMUFNIMK84342ADM NS DS RRSIG
138uu30rqi4933qorivqdotmdj7fo9v4.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. XzRKmTUL0NId5AbtdWwendFuL+3CFbcWgZrsEe0Y8xN0PUem1REvgNLGWnJX5vfXUq6tYj6QSO0rEqFJabvQb06OcSuUUaJ4c1jwlVIUzvEj45s1RyDrNUkrdYpNyWubA03fmtGAnh3+ScVPJ5BGqkMfVSbXTziuoYDbg170OtQ=
14hsidocsfap22akdmufnimk84342adm.zuerich.	900	in	nsec3	1 1 0 - 1BNTMI2FNICTHHPPDCAVTO3I39VRE3FJ NS DS RRSIG
14hsidocsfap22akdmufnimk84342adm.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. Z+j9EOoP5TdEJPpoJT83tBTBF0++IU94rt11ovKWM4pF1fXQaT5v2X1EjLGupOQZ2aBYepjZfK3tIgYRZPROqkqN7Cm5AiQ7KQnVGIv/xzHfDcT6n+SDYII4A0CvnakseW5LLTGxPZP9XKUYGrzcaAHdhSq59pbYG3HLM3YLjtI=
1bntmi2fnicthhppdcavto3i39vre3fj.zuerich.	900	in	nsec3	1 1 0 - 1HJGH1F6GIBC4DO4TBSCR645I9HHFEGI NS DS RRSIG
1bntmi2fnicthhppdcavto3i39vre3fj.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. ujv+JJev0UoEZa9lsh0v6ayBnWIdguf/QFWLE+lLyOYpoZJ1jCr0NPnlS02pK3SXRUt9jzHD9Y2NkQywEVcOXhnFZsLw789V5/+H9PCorP4gEOlSWElJVG/6Gplg+Bi/WuSwXKyvWuwgiNt+lhMAdwg/57Rq+a5mV9gNDE7X4O8=
1hjgh1f6gibc4do4tbscr645i9hhfegi.zuerich.	900	in	nsec3	1 1 0 - 1HKLC0GA1S0OCC45UT5KF7H9E286G2MA NS DS RRSIG
1hjgh1f6gibc4do4tbscr645i9hhfegi.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. Mg1AgSrZtRgG82kWkCMzEiap943Ws2ypVdCNOjyRvaQT5FEsW/kR+aiY/MYP2lOIiKEdBfHn/pBZ0oWLTiqqEbCfE9pC/ntlhXaMB370i9jYGt3KvRng8a31KFtrRV7olJhgplraa+AlOUesUbujjTTbj1WxBys6OUYfgSQqQRo=
1hklc0ga1s0occ45ut5kf7h9e286g2ma.zuerich.	900	in	nsec3	1 1 0 - 1LOGCB9K6GSB1VJSMOI7QG35TJORJ98T NS DS RRSIG
1hklc0ga1s0occ45ut5kf7h9e286g2ma.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. jdpVYGlGsO+x1/hz+91MQSayhk9ZKUwMp8LDvz3F07YY2t0LBjkMYs4qCvgLtIru6aoyb6d/YgbKnU6TGXZTsYRml7EVse8mrrybJxwSx1zwxiUicQ4bOlWxWqu8LFOqE2hcpKxZs8uOD2Ipssuogit0lllbMGjP5fdRcD7FZOE=
1logcb9k6gsb1vjsmoi7qg35tjorj98t.zuerich.	900	in	nsec3	1 1 0 - 1M9QBFOIQO8408R0P002NE2PLQONKPLN NS DS RRSIG
1logcb9k6gsb1vjsmoi7qg35tjorj98t.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. uZHwj5aOEQY2MUEmy6+H7QqrWnvEGsP+XrBoMXVSQxegPGb5a+BDBto5kKCWsJvpRJfPqK9bhtHf12UUIBez3Xb8KgLh5AGmuiOnBx+EnpGdtBT6v6kuilm0e5YYE4rEVAScSEttNfjViaNh2wK2d7NaT22raOu5ZaOb7D9/65M=
1m9qbfoiqo8408r0p002ne2plqonkpln.zuerich.	900	in	nsec3	1 1 0 - 1NAP62R2R5RTEFQ41RCDOOFO9A9ODHN3 NS DS RRSIG
1m9qbfoiqo8408r0p002ne2plqonkpln.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. ObhBu0D+fneUClasso1QMkfIGgurM5fbxYZlDfcVRj14wTWn6rpKr5LQBeAuX28puowm8r8/BsfFVM1Ms0rZ+OnnrSgigeH3DMZicjB5TVT/3VPIPX/BMT6JE/FA3JvaL2JhSf5dJiltcNEPIlON5EqXYGvn6X+NiEwcjeYBKzY=
1nap62r2r5rtefq41rcdoofo9a9odhn3.zuerich.	900	in	nsec3	1 1 0 - 1NPAR299V9TK30OONKAEDIG4JU3LF700 NS DS RRSIG
1nap62r2r5rtefq41rcdoofo9a9odhn3.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. AzPff5e3/mUh4vyVXeomyuUe52Bt6gJEjvt4dwbquhv+ozN4/6O6Fbf2Nk3LXVDGKd+VfQCaHm8HtztIx34rltG+15OZ/Q8anaKI9eH8o35SybAC569A3NwbviMrDXZmtZtVo4Zp2qB/EJaK0Mpm/RIJ369PIZZiOFnCgCnJWc4=
1npar299v9tk30oonkaedig4ju3lf700.zuerich.	900	in	nsec3	1 1 0 - 1OOCUT90OBMUFMD3C7NDVAILB86821UA NS DS RRSIG
1npar299v9tk30oonkaedig4ju3lf700.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. svMr5FySJa5wlWRs/+obdBsWbgp0J/5lpyb4r1/i2bzswRm2egqaRxoZFNQMIqizxKHulnswx2aLDpg7T+9X8uqw+D6Jax9vGBz0P+j63fVBppqpwcadvTugWAcCsL0RwJ5tZJv4QTIX1FvdpZ8ZtcuL93Jg8BNBxBoLxp1OS+U=
1oocut90obmufmd3c7ndvailb86821ua.zuerich.	900	in	nsec3	1 1 0 - 23KI29O24ENCJ1AMN5R2AFDU314E3K3D NS DS RRSIG
1oocut90obmufmd3c7ndvailb86821ua.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. DyoQ/komDD4gBH9iFu67m/QCTGCWt0/wa0lngIXsILkV4LyeRbrRuEq0mhq+VRkA0K1kFgyCqPQnCSLaIudsfnsTK+ODahG+1+LQe6myDzBzUeMPXj8H1y0tTO1ZkGuwDUUaG0qFTlIz0SbZr3K5+gjmdLj56zQitFjQbTEYEV4=
23ki29o24encj1amn5r2afdu314e3k3d.zuerich.	900	in	nsec3	1 1 0 - 276MGRUNCP01OV1VU3GKVVAKFEOU382B NS DS RRSIG
